id,Count,shape_x,shape_y,shape_z
mp-625788,560000,56,100,100
mp-1042208,439040,56,56,140
mp-30174,4608000,160,160,180
mp-776484,5529600,160,160,216
mp-1224068,491520,64,64,120
mp-570068,4233600,200,196,108
mp-1024951,2097152,128,128,128
mp-774904,2419200,48,140,360
mp-1103776,1000000,100,100,100
mp-1216719,1259712,108,108,108
mp-1199543,3110400,80,180,216
mp-1198676,3512320,280,112,112
mp-585,110592,48,48,48
mp-1226600,691200,60,60,192
mp-1207872,1296000,60,120,180
mp-72,248832,48,72,72
mp-645568,3010560,96,140,224
mp-980021,512000,80,80,80
mp-1179938,3528000,140,180,140
mp-13172,512000,80,80,80
mp-1179370,1382400,240,72,80
mp-1211289,592704,84,84,84
mp-765705,1128960,84,84,160
mp-2222932,864000,120,120,60
mp-1226357,1404928,112,112,112
mp-1210693,6220800,240,240,108
mp-1778,64000,40,40,40
mp-17501,3072000,64,200,240
mp-556806,1244160,72,96,180
mp-13365,1290240,96,96,140
mp-560523,3292800,140,140,168
mp-878,2688000,60,160,280
mp-759195,884736,96,96,96
mp-759859,307200,80,80,48
mp-30254,2764800,160,160,108
mp-1342975,1290240,80,96,168
mp-1180065,653184,56,108,108
mp-14382,4354560,224,108,180
mp-972411,884736,96,96,96
mp-36209,345600,60,60,96
mp-2220228,2073600,96,108,200
mp-1187802,800000,100,100,80
mp-28381,2580480,112,128,180
mp-625465,516096,56,96,96
mp-1220307,1310720,80,128,128
mp-1020797,2304000,120,120,160
mp-554648,5832000,180,180,180
mp-1185760,373248,72,72,72
mp-1094087,2160000,60,120,300
mp-1219383,10077696,216,216,216
mp-1222234,1290240,96,96,140
mp-757535,4096000,160,160,160
mp-1077578,884736,96,96,96
mp-1188388,2488320,120,144,144
mp-1105447,1228800,80,128,120
mp-1215257,150528,56,56,48
mp-1185779,1032192,96,96,112
mp-684904,716800,80,80,112
mp-1212233,1524096,108,84,168
mp-1247352,4838400,160,108,280
mp-21918,3810240,108,140,252
mp-19903,1105920,96,96,120
mp-696132,1881600,140,140,96
mp-756467,2097152,128,128,128
mp-570948,995328,108,96,96
mp-558853,3538944,128,128,216
